"",temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (m/s),wind_speed_100m (m/s),shortwave_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),Mese
0,0.455134,0.875094,0.594130,0.532459,0.526736,-0.054699,0.004438,-0.042128,October
1,0.430551,0.885343,0.588950,0.561861,0.572890,-0.055254,0.004046,-0.042203,October
2,0.441567,0.870343,0.580373,0.582497,0.586126,-0.055408,0.003998,-0.042205,October
3,0.447247,0.881111,0.579986,0.547605,0.553273,-0.055271,0.004008,-0.042102,October
4,0.429375,0.896813,0.582683,0.494461,0.539211,-0.053195,0.007885,-0.039619,October
5,0.417537,0.899057,0.591189,0.441721,0.509040,-0.040099,0.049517,-0.022691,October
6,0.445437,0.883113,0.614859,0.469035,0.472581,0.021474,0.256380,0.179097,October
7,0.510725,0.778160,0.636308,0.510545,0.410919,0.199369,0.367176,0.367041,October
8,0.576923,0.673284,0.650760,0.552961,0.359746,0.409785,0.399378,0.720821,October
9,0.601088,0.499626,0.663764,0.513716,0.350742,0.607204,0.404817,0.915261,October
10,0.619319,0.386983,0.670100,0.535382,0.391486,0.646474,0.404426,0.936252,October
11,0.625356,0.364259,0.666598,0.579538,0.380554,0.653872,0.400225,0.938249,October
12,0.626567,0.370654,0.670621,0.649257,0.461891,0.627495,0.391577,0.936531,October
13,0.621975,0.374245,0.650543,0.600437,0.423281,0.431876,0.370569,0.893109,October
14,0.607673,0.398209,0.645411,0.457959,0.376966,0.342220,0.312512,0.733624,October
15,0.593671,0.462633,0.632182,0.279974,0.313928,0.177906,0.206439,0.599550,October
16,0.498964,0.733249,0.628540,0.242162,0.308439,-0.035221,0.031276,0.007421,October
17,0.466500,0.809756,0.633208,0.259126,0.318468,-0.052405,0.005327,-0.039257,October
18,0.466756,0.836923,0.646975,0.260040,0.322855,-0.055325,0.004129,-0.042083,October
19,0.440597,0.830263,0.643250,0.296049,0.336347,-0.055432,0.003967,-0.042184,October
20,0.435418,0.855850,0.640496,0.293249,0.317198,-0.055211,0.003974,-0.042072,October
21,0.419771,0.861060,0.648963,0.334677,0.347440,-0.054735,0.003988,-0.042069,October
22,0.417856,0.873047,0.660420,0.338280,0.342498,-0.054068,0.004433,-0.041878,October
23,0.416408,0.864372,0.659967,0.341207,0.385389,-0.052901,0.004975,-0.041440,October
0,0.247014,0.456516,0.602348,0.512304,0.656197,-0.099581,-0.080451,-0.056145,January
1,0.242072,0.451896,0.622298,0.538562,0.710472,-0.100875,-0.080806,-0.056175,January
2,0.241691,0.441660,0.608214,0.491008,0.695369,-0.101511,-0.080865,-0.056217,January
3,0.240012,0.423139,0.606828,0.456880,0.688351,-0.101495,-0.080494,-0.056208,January
4,0.244580,0.413880,0.604686,0.645566,0.825541,-0.095312,-0.077481,-0.056065,January
5,0.243286,0.328453,0.601086,0.767008,0.825861,-0.094330,-0.077735,-0.052443,January
6,0.237371,0.330448,0.598687,0.740601,0.784350,-0.083012,-0.060846,-0.037748,January
7,0.238665,0.362259,0.628624,0.957090,0.845287,-0.042200,0.081611,0.121253,January
8,0.255780,0.293059,0.634663,0.987659,0.849843,0.073588,0.482310,0.311721,January
9,0.259806,0.275043,0.651567,0.878043,0.785565,0.339518,0.590834,0.565363,January
10,0.263702,0.180505,0.651897,0.967849,0.847285,0.391266,0.610297,0.589351,January
11,0.265614,0.102507,0.631124,1.012458,0.869577,0.427461,0.605089,0.643631,January
12,0.266758,0.120918,0.592904,1.072606,0.875727,0.410923,0.484709,0.640656,January
13,0.260540,0.149872,0.576044,1.047451,0.867259,0.294002,0.216986,0.564675,January
14,0.252078,0.165813,0.569283,0.852004,0.826298,0.140658,0.088334,0.522244,January
15,0.249076,0.191886,0.573185,0.597153,0.787952,-0.039336,-0.020655,0.239635,January
16,0.241498,0.193116,0.595065,0.668751,0.727673,-0.096647,-0.075243,-0.028537,January
17,0.239387,0.156040,0.606182,0.758006,0.732370,-0.099781,-0.081205,-0.051239,January
18,0.239032,0.115706,0.600621,0.658421,0.773312,-0.101457,-0.081460,-0.055235,January
19,0.232946,0.114127,0.612434,0.594367,0.755977,-0.101554,-0.081650,-0.055519,January
20,0.229593,0.091140,0.620495,0.504090,0.656861,-0.101022,-0.081455,-0.055198,January
21,0.226160,0.119246,0.649074,0.468700,0.622730,-0.100619,-0.080945,-0.055763,January
22,0.224039,0.210433,0.672265,0.434995,0.597243,-0.100836,-0.078735,-0.056001,January
23,0.223650,0.277480,0.679368,0.427496,0.589860,-0.100179,-0.074934,-0.055146,January
0,0.349915,0.788770,0.337995,0.313727,0.386619,-0.038963,-0.068466,-0.033462,January
1,0.351527,0.787408,0.333056,0.331103,0.391320,-0.039774,-0.071161,-0.033654,January
2,0.348920,0.780063,0.322662,0.318327,0.383851,-0.039868,-0.071595,-0.033670,January
3,0.350079,0.772653,0.303383,0.313087,0.391148,-0.039824,-0.071586,-0.033541,January
4,0.352106,0.768535,0.270443,0.336978,0.394314,-0.038957,-0.070747,-0.033388,January
5,0.354560,0.743805,0.282492,0.345959,0.427295,-0.037900,-0.069221,-0.032984,January
6,0.360830,0.760177,0.301514,0.414011,0.475629,-0.032213,-0.044670,-0.021962,January
7,0.366602,0.746703,0.313066,0.389121,0.457585,-0.010914,0.024266,0.076318,January
8,0.382371,0.583748,0.322961,0.644226,0.554883,0.136187,0.360998,0.312386,January
9,0.404800,0.519998,0.331567,0.663467,0.507120,0.249422,0.406977,0.363569,January
10,0.408335,0.509839,0.339153,0.771794,0.513224,0.314955,0.598201,0.208639,January
11,0.405109,0.496106,0.313826,0.809091,0.641910,0.309800,0.707678,0.203591,January
12,0.420827,0.425927,0.282423,0.680861,0.452623,0.318794,0.678764,0.244578,January
13,0.410211,0.448115,0.280535,0.697207,0.514743,0.203195,0.596810,0.156878,January
14,0.399147,0.581523,0.296789,0.661523,0.513919,0.075883,0.388330,0.080660,January
15,0.379315,0.694885,0.290963,0.585237,0.501519,0.010318,0.081077,0.030845,January
16,0.397058,0.616156,0.265888,0.828363,0.689096,-0.032586,-0.053931,-0.024859,January
17,0.395565,0.514639,0.280795,0.763280,0.733332,-0.034932,-0.067219,-0.028573,January
18,0.394525,0.531202,0.276266,0.659827,0.816463,-0.038630,-0.070728,-0.033184,January
19,0.388180,0.436896,0.276678,0.692156,0.840379,-0.038843,-0.068727,-0.031966,January
20,0.411768,0.391124,0.257599,0.871855,0.877860,-0.033575,-0.069362,-0.031644,January
21,0.398245,0.382045,0.247392,0.848536,0.878870,-0.038300,-0.069267,-0.032109,January
22,0.390281,0.417445,0.248370,0.838680,0.879189,-0.034168,-0.064248,-0.030703,January
23,0.388909,0.392787,0.241573,0.767469,0.866895,-0.025573,-0.030542,-0.018430,January
0,0.594962,0.941859,0.423530,0.339229,0.514990,-0.037901,-0.024378,-0.035878,September
1,0.559710,0.911901,0.423641,0.250418,0.394812,-0.039406,-0.024501,-0.036088,September
2,0.552746,0.957300,0.423479,0.273938,0.460829,-0.039907,-0.024507,-0.036092,September
3,0.550580,0.945333,0.424608,0.289595,0.455194,-0.039652,-0.024412,-0.036003,September
4,0.529670,0.998799,0.424855,0.338168,0.540465,-0.038860,-0.020412,-0.035286,September
5,0.530449,0.999529,0.432894,0.349514,0.545676,-0.023156,0.012546,-0.016171,September
6,0.597026,0.928737,0.438807,0.418250,0.492051,0.168796,0.386572,0.443225,September
7,0.723571,0.680338,0.453749,0.499726,0.460033,0.366925,0.563084,0.590473,September
8,0.674444,0.536807,0.452064,0.597541,0.574859,0.505090,0.666960,0.698954,September
9,0.737190,0.457000,0.461465,0.609084,0.631130,0.546178,0.618503,0.624728,September
10,0.787004,0.437888,0.474828,0.609093,0.624511,0.748202,0.692475,0.738287,September
11,0.799528,0.403373,0.473693,0.606217,0.625544,0.775581,0.665708,0.750422,September
12,0.800883,0.416739,0.489589,0.569016,0.519340,0.753590,0.539915,0.751072,September
13,0.796966,0.395952,0.488855,0.500194,0.380196,0.624561,0.656896,0.717553,September
14,0.786759,0.386480,0.484835,0.429072,0.349485,0.403892,0.408890,0.637402,September
15,0.764364,0.416221,0.497073,0.447224,0.360259,0.219603,0.406172,0.500430,September
16,0.697644,0.568771,0.491550,0.383672,0.300108,0.055471,0.125162,0.297401,September
17,0.673512,0.620491,0.491417,0.320914,0.246962,-0.028995,-0.016791,-0.007417,September
18,0.609648,0.818450,0.516299,0.310414,0.310999,-0.039330,-0.021429,-0.035939,September
19,0.579022,0.866433,0.528394,0.267476,0.339260,-0.039983,-0.024246,-0.036089,September
20,0.566156,0.918206,0.537424,0.263119,0.278785,-0.039819,-0.024385,-0.036059,September
21,0.563929,0.859355,0.543097,0.190915,0.200749,-0.038782,-0.024309,-0.035686,September
