timestamp,temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (m/s),wind_speed_100m (m/s),shortwave_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²)
1640995200,11.2,85,1016.4,3.49,7.68,0.0,0.0,0.0
1640998800,10.8,86,1016.2,3.04,7.13,0.0,0.0,0.0
1641002400,10.6,87,1016.1,3.01,7.04,0.0,0.0,0.0
1641006000,10.6,88,1015.8,2.72,6.68,0.0,0.0,0.0
1641009600,10.8,90,1015.6,3.18,7.06,0.0,0.0,0.0
1641013200,11.0,90,1015.8,3.42,7.67,0.0,0.0,0.0
1641016800,10.7,91,1015.8,3.19,7.08,0.0,0.0,0.0
1641020400,10.8,88,1016.1,3.26,7.05,57.8,31.1,220.2
1641024000,12.5,82,1016.5,3.69,7.41,202.4,70.2,505.0
1641027600,14.1,79,1016.9,4.02,6.53,326.0,80.9,666.7
1641031200,15.3,77,1017.0,6.53,9.53,382.8,103.7,647.6
1641034800,15.5,77,1016.5,6.18,9.00,393.9,120.2,611.2
1641038400,15.3,74,1016.4,5.85,8.54,374.6,100.3,657.8
1641042000,14.8,79,1015.7,5.57,8.44,306.3,78.3,669.6
1641045600,14.3,83,1015.7,5.79,8.85,185.8,58.0,571.9
1641049200,13.5,86,1016.0,5.44,9.30,50.5,22.6,320.6
1641052800,12.8,90,1016.3,5.55,9.70,0.0,0.0,0.0
1641056400,12.8,91,1016.8,5.82,10.22,0.0,0.0,0.0
1641060000,12.8,92,1017.2,5.87,10.36,0.0,0.0,0.0
1641063600,12.6,91,1017.4,5.68,10.15,0.0,0.0,0.0
1641067200,12.4,90,1017.6,5.19,9.83,0.0,0.0,0.0
1641070800,12.4,88,1017.7,5.25,9.94,0.0,0.0,0.0
1641074400,12.5,87,1018.0,5.19,9.88,0.0,0.0,0.0
1641078000,12.5,87,1017.7,5.19,9.94,0.0,0.0,0.0
1641081600,12.7,89,1017.4,5.55,10.47,0.0,0.0,0.0
1641085200,12.7,91,1017.6,5.57,10.59,0.0,0.0,0.0
1641088800,12.7,92,1017.7,5.19,9.80,0.0,0.0,0.0
1641092400,12.5,92,1017.7,4.27,8.44,0.0,0.0,0.0
